time_ms,ax,ay,az,gx,gy,gz
162,10.066,-0.235,0.515,-3.229,-0.168,-1.0
211,10.09,-0.201,0.417,-3.458,1.092,-1.45
262,10.109,-0.189,0.445,-3.145,1.718,-1.382
312,10.028,-0.225,0.86,-3.321,-2.214,-1.153
362,10.006,-0.168,-0.405,-3.084,3.893,0.229
412,9.973,-0.51,0.733,-3.183,1.939,-1.092
462,10.028,-0.199,0.525,-3.267,1.466,-1.359
513,10.042,-0.232,0.649,-3.305,-0.733,-0.473
562,10.023,-0.168,0.29,-3.145,1.061,-1.069
612,10.057,-0.256,0.568,-3.214,1.328,-1.336
662,10.023,-0.072,0.599,-3.305,0.824,-0.84
712,10.22,-0.041,0.285,-3.405,0.893,-1.26
762,10.064,-0.242,0.723,-3.145,1.221,-0.893
813,9.966,-0.194,0.606,-3.489,1.336,-1.099
862,9.635,-0.22,0.747,-4.023,-0.107,-1.16
912,10.905,-0.038,0.369,-3.863,1.443,-0.954
962,9.19,-0.216,0.319,-4.443,0.153,-1.275
1012,10.138,-0.275,0.702,-3.427,1.084,-0.939
1062,10.093,-0.302,0.927,-3.359,-1.382,-1.183
1113,10.138,0.031,0.508,-4.0,-2.931,-1.137
1162,10.028,-0.311,0.127,-2.855,-0.26,0.176
1212,10.011,-0.304,0.103,-3.298,1.481,-0.901
1262,9.994,-0.11,0.417,-3.221,1.626,-1.542
1312,10.114,-0.386,1.188,-3.092,0.908,-0.992
1362,9.906,-0.307,-0.01,-3.702,0.412,-0.137
1413,10.002,-0.546,0.201,-2.641,2.634,-1.298
1462,10.006,0.177,-0.184,-3.389,0.733,-1.557
1512,10.002,0.127,-0.417,-3.122,2.046,-0.985
1562,10.124,-0.548,1.176,-3.344,2.008,-1.824
1612,10.097,-0.273,0.448,-3.45,0.595,-3.55
1662,10.193,-0.299,1.121,-3.282,1.191,-2.779
1713,10.105,-0.067,0.235,-3.115,1.87,-3.198
1763,10.066,0.062,0.386,-3.115,1.939,-2.977
1813,10.059,0.132,0.41,-3.252,0.824,-2.71
1863,10.16,0.046,0.616,-3.183,0.542,-1.695
1913,10.114,0.263,0.501,-3.206,0.252,0.038
1964,10.093,0.034,0.484,-3.282,0.641,0.076
2013,9.975,0.079,0.481,-3.13,0.725,1.832
2063,10.117,-0.055,0.529,-3.023,-0.244,3.115
2113,10.119,-0.673,0.4,-3.366,-1.0,0.985
2163,10.076,-0.292,0.271,-3.298,2.244,-1.168
2213,10.05,-0.091,0.659,-2.931,2.748,-1.008
2264,10.069,-0.216,0.956,-3.313,-0.084,-1.527
2313,10.893,-0.292,0.187,-4.084,-1.878,-1.924
2363,9.491,-0.254,0.546,-3.534,1.168,-0.992
2413,9.563,-0.295,0.491,-4.023,0.053,-2.557
2463,11.367,0.196,0.477,-3.954,2.389,-0.672
2513,9.056,-0.673,0.951,-3.939,1.237,0.847
2564,10.064,-0.326,0.163,-4.351,0.458,0.122
2613,9.012,-0.369,0.941,-3.656,1.809,-0.794
2663,9.494,-0.52,0.113,-3.595,0.863,-1.802
2713,11.597,-0.05,0.889,-3.985,1.061,-0.275
2763,10.117,-0.266,0.479,-3.298,-0.802,-0.55
2813,10.076,-0.263,0.496,-3.206,-0.092,-0.901
2864,10.181,-0.266,0.774,-3.328,-0.298,-0.771
2913,10.071,-0.12,0.321,-3.267,-1.382,-0.58
2963,10.038,-0.405,0.287,-3.107,1.412,-1.122
3013,10.064,-0.002,0.438,-3.031,3.267,-0.809
3063,10.081,-0.28,0.685,-3.443,2.42,-1.168
3113,9.997,0.146,0.783,-3.13,-0.443,-1.466
3164,9.982,-0.369,0.342,-3.214,0.916,-1.435
3214,10.047,-0.481,0.656,-3.26,0.916,-1.344
3264,10.035,0.022,0.302,-3.687,-0.802,-1.634
3314,10.09,0.829,0.735,-3.16,2.313,-0.725
3364,9.982,-0.723,0.742,-3.198,1.267,-2.061
3415,10.069,-0.184,0.354,-3.115,-0.542,-0.26
3464,10.114,0.163,0.702,-3.206,2.015,-0.863
3514,10.057,-0.575,0.656,-3.282,0.29,-1.756
3564,10.076,0.053,0.158,-3.298,1.015,0.229
3614,10.088,-0.489,1.085,-2.824,1.84,-1.107
3664,10.05,-0.096,0.333,-3.16,-2.282,-2.214
3715,10.097,-0.237,0.144,-3.733,5.389,-0.687
3764,10.035,-0.759,0.141,-3.427,-0.26,-1.71
3814,10.076,-0.457,2.11,-3.282,-0.763,0.748
3864,10.141,1.2,-1.13,-4.038,-2.405,-4.504
3914,9.942,0.707,0.247,-2.84,2.26,0.328
3964,9.947,-1.966,1.94,-1.695,-0.779,-4.557
4015,9.899,-0.093,-1.351,-3.809,4.962,-7.031
4064,8.112,0.958,-0.438,-0.992,-2.824,4.763
4114,10.411,-0.362,0.951,20.42,20.42,8.351
4164,10.004,-0.671,2.292,3.244,1.397,5.275
4214,9.93,-1.31,1.839,13.321,-10.0,3.107
4264,9.887,-1.169,0.307,29.527,-15.038,-6.0
4315,9.875,-0.714,0.228,-13.809,-5.122,-4.824
4364,10.061,0.06,0.069,-20.763,-0.115,-7.359
4414,10.05,-0.472,0.546,-3.618,3.328,-0.336
4464,9.985,0.031,0.778,-4.298,-0.565,1.626
4514,10.133,0.139,0.01,-1.382,0.58,1.481
4564,10.009,-0.788,0.584,-4.855,2.107,0.656
4614,10.112,-0.223,0.453,-15.229,2.786,-2.473
4664,9.968,-0.841,0.721,-30.221,2.504,-1.595
4714,10.093,0.457,0.278,-52.359,5.321,3.282
4764,10.04,-0.558,-0.038,-82.359,13.137,4.802
4814,9.76,-0.223,1.329,-39.649,5.412,1.221
4865,10.191,-0.584,0.369,-5.481,-2.023,1.855
4914,9.911,-0.821,0.402,-3.107,-0.947,0.084
4964,10.16,-0.575,0.374,-4.863,1.237,0.13
5014,10.05,-0.536,0.829,-3.504,-0.618,-3.885
5064,10.121,-0.244,0.577,4.817,-0.779,-1.695
5114,10.04,-0.481,0.39,19.137,-1.626,-1.908
5165,10.073,-0.251,0.383,30.191,-1.954,-1.771
5214,10.057,-0.35,0.687,23.58,0.618,-2.641
5264,10.078,-0.369,0.771,-5.87,3.397,-0.87
5314,10.119,-0.438,0.666,-4.206,0.153,-0.931
5364,10.203,-0.429,0.582,-2.855,1.412,-3.893
5414,10.152,-0.259,0.738,-6.725,0.542,-3.679
5465,10.028,-0.206,0.735,-15.13,2.145,-3.878
5514,10.09,-0.292,1.116,-3.237,-1.389,-0.725
5564,10.09,0.357,0.905,6.924,-1.954,1.29
5614,10.004,-0.673,0.398,-5.977,0.748,0.542
5664,10.126,0.029,0.644,-5.924,2.496,1.542
5714,10.164,-0.491,-0.168,17.763,-0.855,-1.588
5765,10.038,-0.426,0.532,31.267,1.084,-4.855
5814,10.16,-0.216,1.164,-7.153,4.359,1.45
5864,10.121,-0.232,1.102,-3.74,0.359,-0.099
5914,10.148,-0.304,0.884,-3.305,-2.557,-1.947
5964,10.088,-0.608,0.532,-6.893,-3.473,-1.366
6014,10.112,-0.101,0.457,-5.756,1.206,-1.855
6065,10.148,-0.402,0.901,0.649,-0.466,1.756
6115,10.131,-0.596,1.152,2.672,-3.992,-3.405
6165,10.105,-0.031,-0.05,-14.298,-0.87,-1.855
