time_ms,ax,ay,az,gx,gy,gz
77,10.016,0.031,-0.065,-3.947,0.763,-0.702
126,9.999,0.007,-0.046,-3.824,0.542,-1.000
177,10.033,0.084,-0.062,-3.832,1.023,-0.298
227,10.016,0.005,-0.081,-4.496,1.229,-0.496
277,10.057,-0.046,-0.098,-3.267,0.763,-0.641
327,10.138,0.026,-0.081,-2.092,1.496,-0.435
377,10.629,-0.570,0.522,-3.344,2.710,-1.992
428,10.076,0.000,-0.012,-3.664,0.076,-1.160
477,10.040,0.017,-0.122,-3.580,-0.397,-1.473
527,10.023,-0.060,-0.029,-4.397,1.450,-0.756
577,9.944,0.048,-0.019,-3.809,-0.321,-1.137
627,10.018,0.000,-0.031,-4.046,0.000,-1.137
677,10.035,0.012,-0.074,-3.985,0.916,-0.725
728,10.033,0.019,-0.043,-4.008,1.008,-0.809
777,10.071,0.069,-0.067,-3.992,0.924,-0.702
827,10.016,-0.024,-0.089,-4.038,0.878,-0.748
877,10.011,0.007,-0.012,-3.947,0.695,-0.565
927,10.006,-0.010,-0.026,-3.901,0.817,-0.878
977,10.073,0.041,-0.091,-3.649,0.489,-0.824
1028,10.061,0.000,-0.189,-3.931,1.092,-0.794
1077,10.045,0.065,-0.053,-3.725,-0.084,-0.992
1127,10.033,-0.007,0.019,-3.885,1.137,-0.763
1177,10.026,0.026,-0.137,-3.824,0.550,-0.802
1227,10.040,0.014,-0.002,-3.908,0.809,-0.580
1277,10.045,0.065,-0.019,-4.176,0.527,-0.954
1328,9.990,0.036,-0.122,-3.847,0.977,-0.595
1377,10.035,0.022,-0.101,-3.840,0.344,-1.092
1427,10.105,0.084,-0.053,-3.939,0.397,-0.824
1477,10.045,0.005,-0.053,-3.916,0.649,-0.969
1527,10.040,0.072,0.024,-3.916,0.885,-0.786
1577,10.057,0.060,-0.062,-3.893,0.573,-0.885
1628,10.026,-0.031,-0.084,-4.038,0.702,-0.672
1678,10.064,0.014,-0.012,-3.824,0.649,-0.557
1728,10.045,0.022,-0.069,-3.863,0.595,-0.649
1778,10.057,0.022,-0.137,-3.603,0.733,-0.824
1828,9.956,-0.022,-0.093,-3.847,0.809,-0.771
1879,9.987,-0.029,-0.093,-3.863,0.809,-0.824
1928,9.985,0.072,-0.110,-4.122,0.725,-0.924
1978,10.073,0.043,-0.055,-3.939,0.634,-0.817
2028,10.028,0.139,-0.093,-4.038,0.557,-0.756
2078,10.109,0.036,-0.091,-3.878,0.779,-0.939
2128,9.951,-0.007,-0.091,-3.962,0.221,-1.015
2179,9.975,0.043,-0.117,-3.863,0.504,-0.809
2228,10.059,0.000,-0.069,-3.809,0.305,-0.802
2278,10.002,0.055,0.031,-3.740,0.550,-0.748
2328,9.992,0.007,-0.065,-3.901,1.023,-0.763
2378,10.018,-0.036,-0.038,-4.229,0.756,-0.809
2428,10.023,0.007,-0.022,-3.641,0.092,-1.137
2479,10.006,-0.017,0.000,-3.969,1.496,-0.679
2528,10.023,0.057,-0.062,-3.878,-0.153,-1.153
2578,9.987,0.091,-0.180,-3.122,0.763,-0.733
2628,10.028,0.022,-0.024,-3.656,0.176,-1.008
2678,10.030,-0.017,-0.074,-3.916,1.061,-0.687
2728,10.023,0.053,-0.132,-3.603,0.718,-0.863
2779,10.085,-0.002,-0.002,-3.931,0.855,-0.947
2828,10.114,0.029,-0.163,-3.893,0.664,-0.870
2878,9.975,-0.010,-0.038,-3.809,0.061,-1.000
2928,10.088,-0.017,-0.026,-3.985,1.695,-0.458
2978,10.035,0.060,0.000,-3.710,0.344,-0.847
3028,10.059,0.256,-0.165,-0.130,0.542,-1.137
3078,10.085,0.029,-0.026,-3.275,-1.061,-1.290
3128,10.085,-0.014,-0.060,-3.969,2.160,-0.282
3178,10.040,-0.019,-0.043,-3.679,-0.107,-0.885
3228,10.073,0.072,-0.117,-5.290,1.198,-0.420
3278,10.040,0.057,-0.024,-4.107,0.588,-0.763
3329,10.057,0.031,-0.024,-3.908,0.557,-0.832
3378,10.160,0.029,-0.034,-3.786,0.832,-0.771
3428,10.054,-0.012,-0.041,-3.809,0.718,-0.695
3478,9.944,-0.002,-0.038,-3.824,0.710,-0.779
3528,10.035,0.057,-0.069,-3.794,0.695,-0.794
3578,10.061,0.031,-0.065,-3.885,0.435,-0.924
3629,10.038,-0.043,-0.050,-4.092,1.092,-0.847
3678,10.047,0.055,-0.072,-3.870,0.031,-0.969
3728,9.982,-0.002,-0.057,-3.855,0.534,-0.802
3778,10.057,-0.024,-0.046,-3.863,1.252,-0.672
3828,10.081,-0.005,-0.077,-3.481,-0.664,-1.130
3878,10.064,0.014,-0.144,-3.756,1.092,-0.794
