time_ms,ax,ay,az,gx,gy,gz
88,9.982,0.160,0.448,-3.740,1.603,-0.122
136,10.109,0.096,0.536,-2.809,-0.092,-2.511
186,10.014,0.146,0.659,-3.931,2.221,-0.244
236,10.172,0.132,0.584,-3.130,0.015,-0.725
286,9.973,0.251,0.546,-2.634,-0.725,-2.237
336,10.040,0.146,0.589,-4.519,1.969,0.389
387,10.105,0.160,0.594,-3.527,0.519,-0.137
436,10.117,0.132,0.671,-3.382,0.496,-1.427
486,9.985,0.235,0.611,-3.832,0.794,-0.450
536,10.131,0.299,0.656,-3.053,0.695,-0.382
586,10.229,0.122,0.766,-3.511,1.206,-0.176
636,10.045,0.206,0.474,-3.015,0.794,-1.748
687,10.014,0.146,0.738,-4.160,0.794,-0.588
736,10.052,0.096,0.709,-3.214,1.481,-0.679
786,10.176,0.244,0.671,-2.969,0.931,-1.550
836,10.021,0.103,0.498,-4.099,0.496,-0.344
886,10.023,0.120,0.594,-3.076,0.290,-1.282
936,10.069,0.216,0.685,-3.511,0.687,-0.870
987,10.095,0.177,0.625,-3.947,2.069,-1.008
1036,9.982,0.160,0.618,-3.702,0.466,-0.382
1086,10.193,0.201,0.616,-2.649,0.275,-2.061
1136,9.937,0.225,0.690,-3.679,1.748,-0.954
1186,10.028,0.196,0.620,-3.450,0.221,-0.496
1236,10.203,0.213,0.616,-2.939,1.237,-2.351
1286,9.954,0.201,0.544,-3.885,0.924,-0.153
1336,10.064,0.127,0.604,-4.389,-0.176,-0.084
1386,10.006,0.261,0.630,-2.557,1.359,-1.992
1436,10.133,0.235,0.714,-3.122,0.321,-0.527
1486,10.026,0.180,0.685,-4.290,1.389,0.053
1537,10.095,0.156,0.584,-3.092,0.252,-0.977
1586,10.023,0.081,0.671,-4.565,1.328,-0.046
1636,10.129,0.249,0.709,-3.817,1.389,0.069
1686,10.045,0.158,0.680,-2.855,1.015,-1.855
1736,10.169,0.081,0.733,-4.115,1.069,-0.588
1786,9.963,0.271,0.544,-3.573,0.702,-2.069
1837,10.059,0.132,0.678,-3.695,1.954,-2.031
1886,10.054,0.295,0.697,-3.489,0.191,0.191
1936,10.069,0.225,0.620,-2.901,1.496,-2.160
1986,10.145,0.084,0.745,-3.191,0.695,-0.351
2036,10.018,0.232,0.661,-3.405,0.015,-0.313
2086,10.234,0.144,0.750,-3.244,1.038,-1.649
2137,10.004,0.189,0.616,-3.603,0.603,-0.290
2186,10.040,0.201,0.726,-3.595,0.931,-0.542
2236,10.124,0.137,0.711,-3.336,0.565,-0.893
2286,10.023,0.218,0.627,-3.489,0.260,-1.366
2336,10.093,0.098,0.687,-4.008,1.069,-0.115
2386,10.069,0.249,0.580,-3.061,1.382,-0.870
2437,10.150,0.146,0.683,-3.901,2.153,-0.817
2486,9.942,0.249,0.697,-3.809,1.122,-0.710
2536,10.119,0.180,0.541,-3.863,1.023,-0.939
2586,10.097,0.247,0.704,-3.687,1.244,-1.183
2636,10.186,0.216,0.608,-3.321,0.794,-1.046
2686,9.987,0.067,0.649,-3.756,1.214,-0.107
2737,10.114,0.237,0.690,-3.282,0.687,-1.344
2787,10.069,0.247,0.654,-3.237,1.031,-1.015
2837,10.069,0.117,0.635,-3.290,2.038,-0.809
2887,10.141,0.194,0.661,-4.198,1.573,0.046
2937,10.174,0.156,0.661,-2.565,2.031,-2.099
2988,10.090,0.170,0.733,-4.656,0.771,0.466
3037,10.121,0.225,0.781,-3.389,1.748,-0.924
3087,10.011,0.201,0.635,-3.099,0.443,-1.344
3137,10.205,0.251,0.843,-2.603,0.893,-2.137
3187,10.009,0.271,0.673,-2.863,0.496,-1.580
3237,10.121,0.187,0.774,-2.733,0.405,-1.733
3288,9.908,0.180,0.625,-4.359,0.237,1.107
3337,10.033,0.220,0.675,-2.405,2.122,-4.718
3387,10.167,0.098,0.754,-4.137,1.267,-3.756
3437,9.923,0.474,0.702,-5.260,0.489,0.977
3487,10.016,0.302,0.730,-2.985,2.832,-3.473
3537,10.255,0.223,0.860,-4.809,1.962,-1.038
3588,10.066,0.283,0.884,-4.267,1.359,1.084
3637,10.004,0.199,0.841,-4.153,2.191,-0.748
3687,9.961,0.271,0.754,-2.221,1.557,-2.412
3737,10.073,0.335,0.716,-1.321,3.359,-2.443
3787,10.040,0.228,1.042,-1.206,5.061,-2.550
3837,10.164,0.240,0.745,-5.550,2.893,2.710
3888,10.217,0.220,1.037,-2.076,2.198,-0.473
3937,10.215,0.148,0.929,-4.519,2.000,0.229
3987,10.133,0.290,0.941,-3.527,0.069,-0.733
4037,10.059,0.194,0.850,-4.450,0.481,0.840
4087,9.923,0.254,0.829,-3.053,0.618,0.809
4137,9.987,0.304,0.874,0.405,4.626,-3.443
4188,10.138,0.077,0.793,-4.359,1.237,1.084
4238,10.045,0.254,0.922,-3.496,2.344,-1.542
4288,10.050,0.225,0.963,-2.977,1.504,-1.969
4338,10.181,0.117,0.977,-4.298,1.634,1.481
4388,10.057,0.148,0.968,-4.580,1.115,-0.214
4439,9.997,0.283,1.047,-2.137,3.244,0.618
4488,10.109,0.321,0.946,-3.939,3.000,-3.076
4538,10.217,0.299,1.075,-1.931,1.985,-1.176
4588,9.968,0.144,0.908,-3.702,1.901,-1.672
4638,10.143,0.271,1.073,-3.779,-1.168,-1.328
4688,9.954,0.141,0.920,-3.733,-0.282,-1.053
4739,10.109,0.208,1.030,-3.282,2.992,-3.656
4788,10.227,0.156,0.956,-6.863,-1.481,8.710
4838,10.440,1.202,2.062,-6.160,-0.977,-6.160
4888,10.301,0.381,1.015,-1.893,2.069,3.275
4938,9.932,-0.105,0.987,-0.252,4.908,-8.130
4988,10.370,-0.005,1.083,-4.947,-2.168,-1.977
5039,10.061,0.520,1.083,-4.137,-2.405,0.160
5088,9.733,0.163,0.764,0.427,4.527,-5.321
5138,10.797,0.074,1.250,3.840,1.527,1.069
5188,10.255,0.639,0.910,-3.824,-9.046,15.405
5238,9.779,0.081,1.068,4.366,7.214,-1.924
5288,10.349,-0.455,1.035,-5.084,-6.160,-3.695
5339,9.681,0.208,1.042,-6.328,-8.351,18.870
5388,9.618,0.170,0.793,4.885,4.336,-0.817
5438,10.315,-0.319,1.054,2.725,5.069,1.496
5488,10.406,-0.345,1.051,2.611,0.527,-1.534
5538,9.970,-0.259,0.987,4.473,-0.466,1.718
5588,10.006,-0.268,1.006,0.099,-1.931,-2.771
5638,10.198,0.287,0.819,9.969,2.870,-3.656
5688,9.930,-0.165,1.025,11.275,-0.496,1.489
5738,10.073,-0.244,1.109,8.679,-1.084,-1.481
5788,9.762,-0.093,0.778,10.351,2.389,-3.985
5838,10.112,-0.575,0.917,2.870,1.160,3.206
5889,9.915,-0.534,0.910,-4.115,4.992,1.344
5938,10.179,-0.031,0.996,-3.916,5.015,-2.504
5988,10.531,-0.065,1.339,-3.275,4.534,-5.626
6038,10.181,0.378,0.886,1.847,-3.756,0.954
6088,9.817,-0.038,1.039,12.702,1.504,4.351
6138,10.040,-0.513,0.975,9.176,0.275,2.947
6189,9.604,-0.517,1.365,-2.634,8.679,7.947
6238,10.265,-0.395,1.114,-5.718,4.840,3.794
6288,10.318,-0.508,1.219,-1.916,0.962,-2.298
6338,10.145,-0.182,1.118,-5.870,2.382,-2.481
6388,10.181,-0.084,1.207,-4.023,0.565,-0.870
6438,10.081,-0.445,1.200,-6.550,-1.275,3.763
6489,9.889,-0.393,1.056,-6.275,3.397,-2.924
6538,9.985,-0.386,1.068,-5.412,1.954,-0.870
6588,10.200,-0.527,1.102,-6.832,-1.878,1.748
6638,9.853,-0.187,1.087,-5.099,2.748,-6.649
6688,10.394,-0.584,1.035,-5.084,-1.260,6.031
6738,9.994,-0.364,1.023,-9.099,-4.550,1.031
6789,10.330,-0.620,1.166,-6.344,4.168,-3.802
6838,9.879,-0.419,0.960,-8.336,-3.725,2.740
6888,10.023,-0.326,0.901,-6.794,-1.237,-2.115
6938,9.968,-0.383,1.083,-8.580,1.374,1.573
6988,10.208,-0.419,1.047,-6.519,-0.702,-0.466
7038,10.050,-0.702,1.027,-13.176,-7.084,3.611
