time_ms,ax,ay,az,gx,gy,gz
88,10.004,0.072,0.026,-3.710,-0.046,-1.000
136,10.073,0.084,-0.007,-3.931,0.931,-0.779
186,10.023,0.043,-0.002,-3.908,0.931,-0.824
236,9.899,0.041,0.354,-4.107,-3.321,-1.115
286,10.258,-0.005,0.043,-3.573,1.687,-1.038
336,10.054,0.010,-0.081,-3.664,1.656,-0.611
387,10.059,0.017,0.062,-3.672,-0.542,-0.947
436,10.097,0.000,-0.105,-4.130,1.511,-0.885
486,10.026,0.081,-0.077,-3.771,0.885,-0.817
536,10.109,0.081,-0.065,-4.229,0.489,-0.908
586,10.097,0.053,-0.165,-5.252,-0.550,-1.305
636,10.232,-0.029,-0.060,-3.824,-0.229,-1.664
687,9.980,0.105,-0.110,-3.908,1.168,-4.214
736,9.834,0.105,0.086,-3.649,0.275,-4.504
786,10.030,0.072,-0.151,-3.939,1.061,1.733
836,10.227,0.029,-0.077,-3.313,0.603,1.359
886,10.054,0.031,-0.043,-3.382,1.000,-0.313
936,10.066,0.055,-0.127,-3.977,0.718,-1.160
987,10.066,0.024,-0.048,-3.870,0.939,-0.679
1036,9.992,-0.002,-0.110,-3.489,0.458,-1.145
1086,10.064,0.053,-0.041,-4.038,1.046,-0.870
1136,10.011,0.029,0.017,-3.794,0.412,-0.947
1186,10.011,0.065,-0.031,-3.863,0.779,-0.863
1236,10.021,0.024,0.053,-3.588,0.580,-1.053
1286,9.963,0.024,-0.010,-3.817,0.763,-0.908
1336,9.982,0.043,-0.034,-4.031,1.237,-0.672
1386,10.016,0.079,0.029,-3.649,0.824,-0.756
1436,9.975,0.046,-0.031,-2.855,0.573,-0.924
1486,10.061,0.065,-0.048,-3.832,0.908,-0.733
1537,10.095,0.079,-0.072,-3.863,0.458,-0.832
1586,10.018,0.053,-0.053,-3.702,1.038,-0.855
1636,10.018,0.034,-0.017,-3.779,0.634,-0.763
1686,9.970,0.067,-0.055,-3.916,0.885,-0.748
1736,10.061,0.065,0.007,-3.878,0.573,-0.779
1786,10.095,-0.014,-0.053,-3.863,0.901,-0.916
1837,10.040,0.036,-0.038,-3.954,0.534,-0.748
1886,10.083,0.010,-0.031,-3.718,0.802,-0.855
1936,9.997,0.022,-0.055,-3.824,0.802,-0.809
1986,10.026,-0.029,0.067,-3.740,0.824,-0.847
2036,10.028,0.086,-0.053,-4.053,0.992,-0.863
2086,10.040,0.029,-0.022,-3.802,0.275,-0.733
2137,10.028,0.022,-0.014,-3.588,0.962,-0.832
2186,10.052,0.022,-0.067,-3.908,0.786,-0.817
2236,10.016,0.043,-0.014,-3.473,0.336,-0.725
2286,10.054,0.041,-0.048,-3.794,0.901,-0.664
2336,10.145,0.074,-0.031,-3.679,0.405,-0.901
2386,10.016,0.050,-0.072,-3.893,1.061,-0.817
2437,10.081,0.086,0.125,-2.313,0.748,-1.031
2486,10.035,-0.002,-0.074,-3.931,0.962,-0.870
2536,9.980,0.098,0.046,-3.496,0.725,-0.962
2586,10.088,0.038,-0.036,-3.916,1.038,-0.924
2636,10.040,0.029,0.019,-3.420,0.420,-0.931
2686,9.956,0.031,-0.022,-3.908,0.832,-0.802
2737,10.117,0.055,0.002,-3.321,0.763,-0.809
2787,10.023,0.017,-0.117,-3.504,0.786,-0.664
2837,10.018,0.041,-0.108,-3.573,0.351,-0.863
2887,10.045,0.079,-0.069,-4.244,1.122,-0.740
2937,10.133,0.043,-0.072,-3.779,0.427,-1.267
2988,9.975,0.014,-0.096,-4.053,0.924,-0.824
3037,10.028,0.043,0.036,-3.557,0.611,-0.794
3087,10.042,0.038,-0.093,-2.221,0.763,-0.786
3137,10.035,0.103,-0.096,-3.015,0.634,-0.725
3187,10.061,0.060,-0.026,-3.931,0.489,-0.840
3237,10.023,-0.036,-0.026,-3.763,0.710,-0.908
3288,10.028,0.057,0.024,-3.832,0.519,-0.840
3337,9.997,0.065,-0.129,-3.885,1.191,-0.779
3387,10.026,0.125,-0.043,-4.313,0.885,-0.908
3437,10.045,0.022,0.043,-4.519,0.779,-0.656
3487,10.004,0.005,-0.060,-3.511,0.740,-0.985
3537,9.973,0.084,-0.029,-2.206,0.756,-0.802
3588,10.033,0.053,-0.093,-4.107,0.985,-0.832
3637,9.973,0.074,-0.026,-3.901,0.771,-0.779
3687,10.066,0.117,-0.057,-3.855,0.603,-0.840
3737,10.083,0.048,-0.081,-4.252,1.061,-0.794
3787,9.994,0.050,-0.055,-3.641,0.649,-0.908
3837,10.081,0.036,0.017,-3.809,0.977,-0.855
3888,10.083,0.074,-0.010,-3.947,1.244,-0.634
3937,10.038,0.024,-0.046,-4.198,0.779,-0.878
3987,10.047,-0.026,-0.024,-3.847,0.695,-0.725
4037,10.105,0.062,-0.026,-3.794,0.366,-0.763
4087,10.052,0.022,-0.098,-3.893,0.351,-0.786
4137,10.030,0.079,-0.115,-3.985,0.931,-0.595
4188,10.045,-0.007,-0.012,-4.099,0.748,-0.817
4238,10.011,0.091,0.036,-3.473,0.763,-0.695
4288,10.064,0.050,0.000,-3.695,0.351,-0.840
4338,10.018,0.010,-0.034,-4.031,0.863,-0.702
4388,10.028,-0.007,-0.113,-3.710,1.122,-0.427
4439,10.083,0.046,-0.031,-3.718,0.084,-0.595
4488,10.016,0.055,-0.050,-4.092,0.611,-0.916
4538,10.028,0.024,-0.077,-3.802,0.069,-0.794
4588,10.097,0.026,0.067,-4.145,1.397,-0.901
4638,10.028,0.074,0.012,-3.511,0.290,-1.008
4688,9.978,0.091,-0.005,-4.695,0.580,-1.092
4739,10.097,0.077,0.093,-7.145,0.954,-3.359
4788,10.097,0.084,-0.086,-6.534,1.229,-3.527
4838,10.014,0.141,0.046,-2.809,0.626,-1.458
4888,9.937,0.031,-0.014,-1.939,0.847,3.038
4938,10.069,0.046,-0.072,-2.382,0.870,0.046
4988,10.035,0.132,0.031,-3.954,0.618,-0.237
5039,9.889,0.079,-0.074,-1.527,0.412,1.389
5088,10.105,0.014,-0.108,-3.557,0.817,-0.679
5138,9.982,-0.031,-0.036,-3.275,0.817,-0.931
5188,10.040,0.060,-0.029,-3.656,0.908,-0.580
5238,10.064,0.072,-0.041,-3.847,0.824,-0.649
5288,10.050,0.067,-0.060,-3.519,0.275,-0.786
5339,9.990,0.024,-0.084,-2.901,0.672,-0.756
5388,9.994,0.041,-0.034,-3.824,0.550,-0.885
5438,10.002,0.005,-0.017,-3.771,1.153,-0.786
5488,10.028,0.019,-0.026,-3.496,0.565,-0.656
5538,10.088,0.062,0.024,-4.008,1.000,-0.748
5588,9.994,0.017,-0.057,-3.664,0.802,-0.756
5638,10.088,0.034,-0.005,-4.145,1.168,-0.847
5688,9.949,0.000,-0.041,-3.855,0.725,-0.519
5738,10.066,0.110,-0.041,-3.802,0.924,-0.672
5788,10.035,0.038,-0.019,-4.229,1.664,-0.740
5838,10.021,-0.036,-0.050,-4.198,0.038,-0.809
5889,9.990,-0.005,-0.084,-4.206,1.145,-0.626
5938,10.018,0.105,-0.065,-3.916,-0.145,-0.824
5988,9.927,0.002,0.019,-4.595,3.916,-0.695
