Time_ms,Distance_mm,VA0_V,VA1_V,VA2_V
8,0,3.011,2.840,2.796
12,0,3.074,3.123,3.084
13,0,3.016,2.967,2.928
14,0,2.889,2.869,2.879
16,0,2.590,2.620,2.610
17,0,2.375,2.322,2.297
19,0,2.175,2.214,2.209
20,0,1.872,1.882,1.867
22,0,1.989,1.970,1.911
27,0,2.527,2.546,2.561
29,0,2.869,2.835,2.820
30,0,3.109,3.133,3.069
31,0,2.996,3.016,2.996
33,0,2.923,2.884,2.913
34,0,2.757,2.796,2.825
36,0,2.566,2.571,2.586
38,0,2.146,2.146,2.092
40,0,2.229,2.175,2.121
41,0,1.862,1.838,1.784
43,0,1.979,2.014,1.911
51,48,3.109,3.084,3.123
52,48,2.996,2.952,2.991
54,48,2.947,2.928,2.972
55,48,2.688,2.664,2.649
57,48,2.551,2.586,2.590
58,48,2.033,1.960,1.984
60,48,2.087,2.097,2.077
61,48,1.891,1.926,1.935
63,48,2.019,2.009,2.023
64,48,2.063,2.126,2.067
66,48,2.424,2.419,2.385
71,50,3.157,3.074,3.055
73,50,2.972,2.957,2.991
74,50,2.874,2.879,2.874
76,50,2.615,2.590,2.634
77,50,2.341,2.312,2.292
79,50,2.185,2.175,2.165
81,50,1.852,1.852,1.838
83,50,1.935,1.989,1.965
84,50,2.004,2.009,1.960
86,50,2.380,2.326,2.297
90,50,2.810,2.727,2.815
95,55,2.801,2.761,2.840
97,55,2.620,2.605,2.561
98,55,2.155,2.155,2.038
100,55,2.224,2.204,2.151
101,55,1.823,1.852,1.813
103,55,1.989,1.994,1.960
104,55,2.063,2.067,2.023
106,55,2.380,2.385,2.370
107,55,2.537,2.512,2.522
109,55,2.835,2.801,2.830
110,55,3.099,3.123,3.143
112,55,2.991,2.981,3.006
117,53,2.390,2.375,2.361
119,53,2.190,2.195,2.175
120,53,1.857,1.877,1.857
123,53,1.975,1.975,1.940
124,53,1.965,1.965,1.960
126,53,2.346,2.336,2.322
127,53,2.463,2.502,2.473
132,53,3.133,3.133,3.104
133,53,3.006,2.981,2.981
135,53,2.849,2.820,2.849
140,58,2.121,2.131,2.082
141,58,1.921,1.935,1.916
143,58,2.019,2.009,2.038
144,58,2.111,2.102,2.116
146,58,2.424,2.458,2.424
148,58,2.742,2.654,2.766
149,58,2.791,2.786,2.752
151,58,3.133,3.109,3.128
152,58,2.981,2.972,3.001
154,58,2.977,2.947,3.001
155,58,2.678,2.669,2.708
157,58,2.498,2.468,2.507
162,59,2.004,1.999,1.984
164,59,2.009,2.048,2.048
166,59,2.395,2.414,2.395
