Time_ms,Distance_mm,VA0_V,VA1_V,VA2_V
8,0,2.869,2.717,2.634
9,0,2.502,2.493,2.488
11,0,2.498,2.493,2.488
12,0,2.502,2.493,2.488
18,0,2.502,2.493,2.493
20,0,2.498,2.498,2.488
21,0,2.502,2.498,2.488
23,0,2.502,2.498,2.488
24,0,2.502,2.498,2.488
26,0,2.502,2.498,2.488
27,0,2.502,2.493,2.488
29,0,2.498,2.498,2.488
30,0,2.502,2.498,2.488
32,0,2.502,2.493,2.488
33,0,2.502,2.498,2.483
35,0,2.502,2.498,2.488
36,0,2.498,2.493,2.488
41,49,2.502,2.493,2.493
43,49,2.502,2.498,2.488
44,49,2.502,2.493,2.488
48,49,2.502,2.493,2.488
50,49,2.498,2.498,2.488
52,49,2.502,2.498,2.488
53,49,2.502,2.493,2.488
55,49,2.502,2.498,2.488
56,49,2.498,2.498,2.488
59,49,2.502,2.498,2.488
64,50,2.502,2.493,2.493
65,50,2.498,2.498,2.488
67,50,2.502,2.498,2.488
68,50,2.502,2.493,2.488
70,50,2.502,2.493,2.488
71,50,2.498,2.498,2.488
73,50,2.502,2.498,2.488
74,50,2.502,2.493,2.488
76,50,2.502,2.493,2.488
77,50,2.502,2.498,2.488
79,50,2.502,2.493,2.488
80,50,2.502,2.498,2.488
86,56,2.502,2.498,2.488
87,56,2.502,2.493,2.488
91,56,2.498,2.493,2.488
93,56,2.502,2.493,2.488
94,56,2.502,2.493,2.488
96,56,2.498,2.498,2.488
98,56,2.498,2.498,2.488
99,56,2.502,2.498,2.488
102,56,2.502,2.493,2.488
103,56,2.502,2.498,2.488
108,54,2.502,2.498,2.493
110,54,2.502,2.493,2.488
111,54,2.498,2.498,2.488
113,54,2.502,2.493,2.488
115,54,2.498,2.498,2.488
116,54,2.502,2.493,2.488
118,54,2.502,2.498,2.488
119,54,2.498,2.498,2.488
121,54,2.502,2.498,2.488
122,54,2.502,2.498,2.488
124,54,2.502,2.498,2.488
125,54,2.502,2.493,2.488
133,55,2.498,2.498,2.488
135,55,2.502,2.498,2.488
137,55,2.502,2.498,2.488
138,55,2.502,2.493,2.488
140,55,2.502,2.498,2.488
141,55,2.502,2.498,2.488
144,55,2.502,2.493,2.488
145,55,2.498,2.498,2.488
147,55,2.502,2.498,2.488
148,55,2.502,2.493,2.488
154,55,2.502,2.498,2.483
155,55,2.502,2.493,2.488
157,55,2.498,2.498,2.488
158,55,2.502,2.498,2.488
160,55,2.502,2.493,2.488
161,55,2.502,2.498,2.488
163,55,2.502,2.498,2.488
165,55,2.498,2.498,2.488
166,55,2.498,2.498,2.488
170,55,2.498,2.493,2.488
176,53,2.502,2.498,2.488
177,53,2.502,2.498,2.488
179,53,2.502,2.498,2.488
180,53,2.502,2.493,2.493
182,53,2.502,2.493,2.488
183,53,2.498,2.498,2.488
186,53,2.502,2.498,2.493
188,53,2.502,2.498,2.488
189,53,2.502,2.493,2.488
191,53,2.502,2.498,2.488
192,53,2.498,2.498,2.488
194,53,2.502,2.493,2.488
199,53,2.502,2.493,2.493
201,53,2.498,2.498,2.488
202,53,2.498,2.498,2.488
204,53,2.502,2.498,2.488
205,53,2.502,2.498,2.488
207,53,2.498,2.498,2.488
208,53,2.498,2.498,2.488
224,53,2.502,2.498,2.488
229,53,2.502,2.493,2.488
231,53,2.502,2.493,2.483
232,53,2.502,2.493,2.483
234,53,2.502,2.493,2.488
235,53,2.502,2.493,2.488
237,53,2.502,2.493,2.488
239,53,2.502,2.493,2.488
244,55,2.507,2.498,2.493
245,55,2.498,2.498,2.488
247,55,2.498,2.498,2.488
248,55,2.502,2.493,2.488
250,55,2.502,2.488,2.488
252,55,2.502,2.493,2.488
253,55,2.502,2.493,2.488
255,55,2.502,2.493,2.483
256,55,2.502,2.498,2.483
258,55,2.502,2.498,2.483
259,55,2.498,2.498,2.488
261,55,2.502,2.498,2.488
269,53,2.502,2.498,2.488
270,53,2.502,2.493,2.488
273,53,2.502,2.493,2.488
274,53,2.498,2.498,2.488
276,53,2.502,2.493,2.488
278,53,2.502,2.493,2.488
279,53,2.502,2.493,2.488
281,53,2.502,2.498,2.488
282,53,2.502,2.498,2.488
284,53,2.498,2.498,2.488
289,53,2.502,2.498,2.488
