time_ms,ax,ay,az,gx,gy,gz
62,10.102,-0.587,0.503,-3.298,0.366,-0.687
112,10.021,-0.393,0.498,-3.313,1.122,-0.855
162,10.095,-0.75,0.405,-3.366,0.198,-0.817
212,10.109,-0.503,0.51,-3.519,1.107,-1.695
263,10.028,-0.266,0.486,-3.382,0.527,-0.168
312,10.033,-0.757,0.366,-3.328,1.519,-0.458
362,10.05,-0.544,0.644,-3.267,0.344,-1.176
412,10.057,-0.498,0.436,-3.221,0.252,-1.282
462,10.014,-0.407,0.453,-3.366,1.16,-0.824
513,10.064,-0.558,0.457,-3.313,0.901,-0.519
563,10.04,-0.599,0.556,-3.359,0.74,-1.336
612,9.994,-0.527,0.417,-3.313,0.527,-1.115
662,10.093,-0.548,0.386,-3.198,1.053,-0.931
712,10.059,-0.592,0.481,-3.076,0.947,-0.817
762,9.999,-0.56,0.539,-3.305,0.565,-1.26
813,10.054,-0.465,0.419,-3.45,0.817,-0.969
863,10.03,-0.556,0.481,-3.313,0.84,-0.939
912,10.054,-0.536,0.455,-3.466,0.847,-0.87
962,10.054,-0.479,0.479,-3.145,0.641,-1.092
1012,10.097,-0.553,0.441,-3.45,0.756,-0.763
1062,10.095,-0.544,0.534,-3.183,0.786,-0.817
1113,9.987,-0.563,0.467,-3.382,0.771,-1.023
1163,10.071,-0.508,0.477,-3.351,0.794,-1.076
1212,10.097,-0.534,0.493,-3.42,0.794,-0.969
1262,10.071,-0.632,0.489,-3.359,0.641,-0.947
1312,10.059,-0.553,0.52,-3.382,0.519,-1.13
1362,10.064,-0.589,0.496,-3.237,0.847,-1.038
1413,10.071,-0.58,0.503,-3.344,0.763,-1.099
1463,10.04,-0.572,0.46,-3.191,0.725,-0.969
1513,10.016,-0.534,0.422,-3.252,0.824,-0.962
1563,10.047,-0.553,0.479,-3.359,0.748,-1.0
1613,10.028,-0.611,0.493,-3.397,0.779,-0.84
1664,10.014,-0.529,0.436,-3.282,0.809,-0.87
