time_ms,ax,ay,az,gx,gy,gz
117,0.992,0.479,10.584,-3.725,0.809,-0.786
166,0.728,-0.038,10.711,-1.374,1.969,-2.290
217,0.953,0.680,10.538,-3.244,0.656,-0.122
266,0.936,0.448,10.596,-3.977,0.885,1.595
316,0.889,0.433,10.596,-3.611,0.802,-0.397
366,0.932,0.501,10.588,-4.053,0.618,-0.611
416,0.944,0.477,10.519,-3.679,0.580,-0.740
466,0.891,0.400,10.512,-3.893,0.840,-0.695
517,0.960,0.426,10.531,-3.863,0.679,-0.924
566,0.932,0.465,10.581,-3.878,0.588,-0.809
616,0.972,0.477,10.617,-3.908,0.763,-0.687
666,0.977,0.426,10.562,-3.939,0.672,-0.733
716,0.944,0.455,10.497,-3.725,0.611,-0.748
766,0.999,0.438,10.608,-3.893,0.641,-0.840
817,0.953,0.465,10.552,-3.931,0.893,-0.893
867,0.999,0.479,10.622,-3.855,0.565,-0.664
917,1.004,0.424,10.497,-3.794,0.847,-0.794
967,0.922,0.481,10.533,-3.863,0.924,-0.740
1017,0.934,0.501,10.519,-4.206,0.779,-0.695
1068,0.996,0.505,10.569,-3.626,0.786,-0.802
1117,0.891,0.467,10.507,-3.840,0.779,-0.802
1167,0.968,0.457,10.567,-3.748,0.885,-0.847
1217,0.996,0.522,10.545,-3.954,0.565,-0.748
1267,0.901,0.426,10.519,-3.611,0.802,-0.313
1317,0.982,0.462,10.557,-4.076,0.924,-0.725
1368,0.972,0.414,10.488,-3.817,0.679,-0.870
1417,0.970,0.431,10.548,-3.786,0.626,-0.664
1467,0.915,0.525,10.512,-3.802,0.542,-0.809
1517,0.939,0.503,10.552,-4.038,0.679,-0.672
1567,0.920,0.457,10.502,-3.763,0.687,-0.809
1617,0.939,0.426,10.591,-4.061,0.534,-0.870
1668,0.941,0.501,10.524,-3.847,0.786,-0.763
1717,0.917,0.414,10.529,-3.863,0.611,-0.985
1767,0.972,0.436,10.569,-3.809,0.733,-0.672
1817,0.989,0.457,10.538,-3.931,0.763,-0.710
1867,0.968,0.520,10.483,-3.771,0.802,-0.603
1917,0.905,0.467,10.495,-3.931,0.748,-0.840
1968,0.989,0.505,10.512,-3.863,0.756,-0.809
2017,1.018,0.417,10.600,-3.649,0.695,-0.427
2067,0.939,0.517,10.550,-4.031,0.695,-0.641
2117,1.018,0.481,10.531,-3.626,0.725,-0.863
2167,0.963,0.503,10.591,-3.863,0.542,-0.863
2217,0.956,0.551,10.603,-3.985,0.824,-0.802
2268,0.893,0.477,10.576,-3.679,0.748,-0.733
2318,0.956,0.508,10.588,-3.832,0.656,-0.817
2368,0.960,0.453,10.521,-3.954,0.725,-0.710
2418,0.960,0.438,10.497,-3.802,0.817,-0.740
2468,0.896,0.436,10.507,-3.878,0.718,-0.908
2519,0.944,0.450,10.574,-3.893,0.580,-0.863
2568,0.936,0.443,10.550,-3.733,0.885,-0.649
2618,0.975,0.433,10.552,-3.916,0.695,-0.847
2668,0.886,0.390,10.564,-3.863,0.893,-0.649
2718,0.922,0.431,10.564,-3.947,0.420,-0.618
2768,0.996,0.474,10.648,-3.779,0.656,-0.916
2819,0.874,0.448,10.557,-3.908,0.771,-0.710
2868,1.006,0.546,10.557,-3.855,0.695,-0.695
2918,0.980,0.469,10.581,-4.023,0.802,-0.656
2968,0.946,0.453,10.552,-3.847,0.649,-0.740
3018,0.958,0.484,10.564,-4.046,0.779,-0.679
3068,0.913,0.481,10.540,-3.672,0.740,-0.802
3119,0.917,0.438,10.552,-3.870,0.649,-0.832
3168,0.956,0.465,10.598,-3.763,0.733,-0.802
3218,0.939,0.460,10.593,-3.916,0.817,-0.893
3268,0.953,0.433,10.531,-3.924,0.718,-0.893
3318,0.989,0.457,10.526,-4.023,0.595,-0.618
3368,0.960,0.426,10.605,-3.969,0.641,-0.824
3419,0.939,0.462,10.620,-3.748,0.779,-0.748
3468,0.932,0.443,10.550,-3.656,0.725,-0.710
3518,1.032,0.508,10.560,-4.031,0.656,-0.855
3568,0.903,0.510,10.584,-3.893,0.695,-0.756
3618,0.951,0.465,10.505,-3.832,0.695,-0.656
