time_ms,ax,ay,az,gx,gy,gz
112,0.285,9.738,0.422,-1.710,1.565,-0.969
161,0.053,9.748,0.125,-2.618,-2.397,-0.855
211,0.321,9.757,0.453,-6.580,-0.092,-0.649
262,0.141,9.805,0.259,-3.802,0.695,-0.641
312,0.132,9.757,0.319,-4.527,-0.985,-0.618
362,0.105,9.772,0.410,-5.420,1.420,-0.817
412,0.311,9.707,0.302,-4.229,1.931,-0.359
462,0.249,9.760,0.364,-4.084,2.244,-0.832
513,0.340,9.805,0.331,-2.397,1.397,-0.832
562,0.180,9.786,0.311,-4.321,0.580,-0.863
612,0.211,9.786,0.220,-3.183,0.870,-0.771
662,0.163,9.772,0.304,-4.885,0.656,-0.756
712,0.192,9.762,0.309,-3.802,0.664,-0.740
762,0.254,9.781,0.426,-5.649,0.908,-0.618
813,0.146,9.762,0.307,-4.718,0.908,-0.679
862,0.163,9.786,0.290,-2.725,0.748,-0.931
912,0.151,9.772,0.338,-4.321,0.542,-0.748
962,0.117,9.810,0.333,-3.687,0.588,-1.038
1012,0.172,9.733,0.410,-3.244,0.840,-0.794
1062,0.192,9.767,0.225,-2.702,0.794,-0.489
1113,0.113,9.717,0.371,-4.977,1.557,-0.931
1162,0.168,9.791,0.285,-3.893,-0.168,-1.046
1212,0.168,9.832,0.314,-3.824,0.710,-0.763
1262,0.206,9.856,0.376,-5.176,0.718,-0.725
1312,0.168,9.784,0.350,-3.168,0.840,-0.916
1362,0.043,9.755,0.342,-4.450,0.847,-0.519
1413,0.158,9.805,0.328,-3.267,0.794,-0.916
1462,0.223,9.707,0.321,-3.328,0.855,-0.779
1512,0.172,9.750,0.292,-4.321,0.695,-0.695
1562,0.218,9.788,0.438,-4.069,0.847,-0.672
1612,0.141,9.733,0.319,-3.794,0.748,-0.802
1662,2.259,9.228,-0.350,3.130,-22.000,-0.366
1713,-0.460,9.827,0.493,-8.183,1.321,-0.550
1763,0.069,9.824,0.153,-16.954,6.931,-0.076
1813,0.103,9.750,0.639,-9.878,3.947,-0.053
1863,0.168,9.805,0.498,2.214,1.008,-1.389
1913,0.163,9.805,0.268,-0.366,-2.435,-1.053
1964,0.129,9.772,0.455,-4.008,0.702,-0.924
2013,0.184,9.743,0.352,-3.382,0.519,-1.031
2063,0.117,9.788,0.364,-1.061,-2.107,-0.618
2113,0.172,9.832,0.287,-2.847,-0.290,-1.046
2163,0.168,9.726,0.304,-3.198,-0.282,-0.649
2213,0.194,9.822,0.359,-6.366,-1.489,-0.718
2264,0.199,9.764,0.445,-1.809,0.748,-0.817
